brain_region,measurement,standard_deviation,measurement_type,measurement_unit,cell_type,source_title,comment,specimen_age
Bed nucleus of the anterior commissure,2860.8126566769,1059.2978234755,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Cerebellum,958.5797886501,171.1677423905,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Cerebellar cortex,1041.0116272724001,174.3818711841,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Vermal regions,1261.3463309217,262.87330518,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Lingula (I),788.4192977956,391.9006026729,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Lingula (I), molecular layer",672.2845540785,379.3639985352,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Lingula (I), granular layer",937.5518488242,442.3123703563,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Central lobule,1489.2158511895002,436.6331256979,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Lobule II,1151.8922127181,145.1948399575,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Lobule II, molecular layer",756.7480364869,191.229782894,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Lobule II, granular layer",1588.255321835,181.3771701401,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Lobule III,1671.4525218036,607.4598095017,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Lobule III, molecular layer",2298.6036165552,1053.699867116,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Lobule III, Purkinje layer",1092.9306370001,269.6285369593,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Culmen,1073.1835263371001,300.4465034013,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Lobules IV-V,1073.1835263371001,300.4465034013,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Lobules IV-V, molecular layer",1389.7506709609,413.5434774025,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Lobules IV-V, granular layer",711.3810869296001,185.72841729150002,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Declive (VI),1230.6840507125,171.3602665725,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Declive (VI), molecular layer",904.2149942537,97.1061588539,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Declive (VI), granular layer",1562.4238049088,290.9145517544,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Folium-tuber vermis (VII),1578.6792932186,309.1377523989,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Folium-tuber vermis (VII), molecular layer",1267.046861329,376.69150535480003,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Folium-tuber vermis (VII), granular layer",1874.8755768931,354.77884918440003,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Pyramus (VIII),1694.8764340174,296.64362007060004,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Pyramus (VIII), molecular layer",2018.3228659792,228.79221773880002,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Pyramus (VIII), granular layer",1452.2522700192999,379.6061732047,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Uvula (IX),1530.9913785756,149.7817430318,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Uvula (IX), molecular layer",970.6464419503999,144.0380802833,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Uvula (IX), granular layer",2042.8599349466,212.58711114529999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Nodulus (X),1036.0843229503998,211.1901012158,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Nodulus (X), molecular layer",885.6009710000999,289.5819667772,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Nodulus (X), granular layer",1181.9649827282,161.9182401683,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Hemispheric regions,896.6250118003,127.08142186090001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Simple lobule,710.4902247463001,134.9453400419,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Simple lobule, molecular layer",820.1872963845,192.80926811220002,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Simple lobule, granular layer",573.8220780198001,82.715812801,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ansiform lobule,1029.3427277439,93.1247314856,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Crus 1,1254.0012162219,82.7582540844,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Crus 1, molecular layer",1132.7990183579,126.4858744494,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Crus 1, granular layer",1324.3617700274,112.9170658983,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Crus 2,869.8740851257,103.96246492659999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Crus 2, molecular layer",812.5558663648,86.6736016326,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Crus 2, granular layer",904.685927389,143.6438520205,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Paramedian lobule,891.4262775647001,96.21643589920001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Paramedian lobule, molecular layer",709.4145237796,104.2483929599,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Paramedian lobule, granular layer",1028.0487611834,122.2391536795,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Copula pyramidis,859.1636750275,113.50590116309999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Copula pyramidis, molecular layer",615.237957505,120.6591575998,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Copula pyramidis, Purkinje layer",0.0,0.0,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Copula pyramidis, granular layer",1005.0712546423,117.7144735411,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Paraflocculus,816.4698750117999,280.28017253900003,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Paraflocculus, molecular layer",585.2711554189,231.572729285,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Paraflocculus, granular layer",941.7969098967999,308.9621640094,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Flocculus,1011.4212525852,183.0727360126,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Flocculus, molecular layer",1765.6536364683,279.9602371727,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Flocculus, granular layer",757.3035418872,198.8923448865,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Cerebellar nuclei,437.5960208767,192.8443680657,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Fastigial nucleus,524.6434149829,261.0714266571,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Interposed nucleus,500.9715201069,236.6615202137,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Dentate nucleus,194.6262493637,47.3655392465,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Brain stem,7251.582867935401,1409.0017290309,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Interbrain,5459.5914779254,763.4379328528,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Thalamus,4224.6892789632,791.5681816112,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Thalamus, sensory-motor cortex related",2485.1521722445,603.9577836993,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ventral group of the dorsal thalamus,2620.373267026,786.5350128647,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ventral anterior-lateral complex of the thalamus,3466.3785098847998,1368.4525622885,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ventral medial nucleus of the thalamus,8737.7669868332,988.5810292227001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ventral posterior complex of the thalamus,732.3571880561,490.6121233607,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ventral posterolateral nucleus of the thalamus,1609.6642134212,1186.5896084422,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Ventral posterolateral nucleus of the thalamus, parvicellular part",99.4238382092,42.078981374899996,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ventral posteromedial nucleus of the thalamus,156.7621435124,62.277309035,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Ventral posteromedial nucleus of the thalamus, parvicellular part",318.4849914788,70.4705044491,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Subparafascicular nucleus,6762.6114771376,465.0510055786,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Subparafascicular nucleus, magnocellular part",12246.255356258402,938.3152682886999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Subparafascicular nucleus, parvicellular part",5355.027491549799,467.5764235874,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Subparafascicular area,10207.7581276376,920.2962440038001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Peripeduncular nucleus,7458.8216175596,1687.6696232523002,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Geniculate group, dorsal thalamus",398.0924140035,103.95725430610001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Medial geniculate complex,229.94286771470001,94.2587929618,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Medial geniculate complex, dorsal part",219.5527209613,91.14681967920001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Medial geniculate complex, ventral part",169.65343107270002,119.15967294010001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Medial geniculate complex, medial part",394.59513054980005,181.1000260863,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Dorsal part of the lateral geniculate complex,590.3812414221,166.3049522992,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Thalamus, polymodal association cortex related",5329.3940438683,919.8802753953,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Lateral group of the dorsal thalamus,602.7978421792,134.9576897739,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Lateral posterior nucleus of the thalamus,453.31192273889997,86.00294478309999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Posterior complex of the thalamus,322.5452777252,72.9130043672,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Posterior limiting nucleus of the thalamus,3923.5298327709997,1142.4216417356,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Suprageniculate nucleus,714.3616816174001,267.5700421667,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Anterior group of the dorsal thalamus,1085.7757455852,284.830548051,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Anteroventral nucleus of thalamus,1725.7102024165,444.782582658,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Anteromedial nucleus,1488.0611091004998,372.90512235230005,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Anteromedial nucleus, dorsal part",876.1117587656,120.36581248680001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Anteromedial nucleus, ventral part",3811.9863070609003,1540.6878538029,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Anterodorsal nucleus,877.7628659763001,221.8015677485,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Interanteromedial nucleus of the thalamus,1593.3149137982998,387.73313643449995,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Interanterodorsal nucleus of the thalamus,1678.7685890470002,685.7421553382,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Lateral dorsal nucleus of thalamus,605.4155477324,248.1246511453,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Medial group of the dorsal thalamus,2146.2793597816,248.95466676900003,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Intermediodorsal nucleus of the thalamus,5755.9465790476,564.4924740423,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Mediodorsal nucleus of thalamus,1586.135846135,255.29824611909999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Mediodorsal nucleus of the thalamus, central part",1198.2255004628,368.4662667332,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Mediodorsal nucleus of the thalamus, lateral part",1895.3408516666,261.2345459862,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Mediodorsal nucleus of the thalamus, medial part",1483.9384711931,295.539329873,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Submedial nucleus of the thalamus,1236.4113451236,172.7340736406,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Perireunensis nucleus,1986.4141286851002,806.7169138101,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Midline group of the dorsal thalamus,6139.8353234152,427.1692995697,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Paraventricular nucleus of the thalamus,7702.850448290501,266.950560695,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Parataenial nucleus,3162.851088752,728.9836769757001,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Nucleus of reunions,5251.2208172379,750.9227789081,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Intralaminar nuclei of the dorsal thalamus,3005.3020488235998,162.84705124299998,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Rhomboid nucleus,1393.0613950104,335.1313310356,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Central medial nucleus of the thalamus,6992.4166314389,400.2875585406,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Paracentral nucleus,1775.5782924363,181.0178119011,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Central lateral nucleus of the thalamus,701.0394427166001,154.0531084552,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Parafascicular nucleus,2361.9586927578,214.77162183389999,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Reticular nucleus of the thalamus,22407.6106955371,5167.5405021818,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
"Geniculate group, ventral thalamus",8404.109888221199,2121.4569263437,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Intergeniculate leaflet of the lateral geniculate complex,4972.3999007781,2262.5263588024,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
Ventral part of the lateral geniculate complex,8273.496415075,2078.4777625058,cell density,number of cells per mm^3,SST+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
